"Label (Grouping)","Total:","Total:!!Under 18 years","Total:!!18 to 24 years","Total:!!25 to 34 years","Total:!!35 to 44 years","Total:!!45 to 54 years","Total:!!55 to 64 years","Total:!!65 years and over"
"    Estimate","27,136","2,413","906","2,124","1,715","2,483","3,026","14,469"
"Fountain Hills town, Arizona","","","","","","","",""
"    Estimate","25,196","2,267","1,114","988","2,386","3,635","4,755","10,051"
"Gilbert town, Arizona","","","","","","","",""
"    Estimate","254,115","75,171","22,505","30,033","40,079","36,448","23,546","26,333"
"Glendale city, Arizona","","","","","","","",""
"    Estimate","252,384","61,680","26,498","35,761","30,107","34,723","29,052","34,563"
"Goodyear city, Arizona","","","","","","","",""
"    Estimate","86,843","21,755","8,380","9,654","11,428","12,179","11,110","12,337"
"Green Valley CDP, Arizona","","","","","","","",""
"    Estimate","20,385","259","578","265","468","441","3,133","15,241"
"Kingman city, Arizona","","","","","","","",""
"    Estimate","31,019","3,985","1,753","3,878","2,000","3,431","6,233","9,739"
"Lake Havasu City city, Arizona","","","","","","","",""
"    Estimate","55,867","8,315","3,884","4,551","5,246","6,793","8,409","18,669"
"Marana town, Arizona","","","","","","","",""
"    Estimate","49,023","12,769","2,305","5,217","6,243","4,711","5,599","12,179"
"Maricopa city, Arizona","","","","","","","",""
"    Estimate","52,124","12,355","4,276","6,801","7,901","6,542","5,985","8,264"
"Mesa city, Arizona","","","","","","","",""
"    Estimate","517,981","128,697","44,717","80,189","64,910","57,982","55,242","86,244"
"Oro Valley town, Arizona","","","","","","","",""
"    Estimate","46,061","8,637","3,313","3,119","4,749","5,355","5,319","15,569"
"Peoria city, Arizona","","","","","","","",""
"    Estimate","175,960","36,755","11,929","21,452","24,041","22,290","24,059","35,434"
"Phoenix city, Arizona","","","","","","","",""
"    Estimate","1,680,988","420,111","161,639","273,588","235,946","210,256","192,541","186,907"
"Prescott city, Arizona","","","","","","","",""
"    Estimate","44,294","5,250","2,474","3,656","3,181","3,927","9,033","16,773"
"Prescott Valley town, Arizona","","","","","","","",""
"    Estimate","46,527","9,802","4,278","6,596","3,782","4,529","5,646","11,894"
"Queen Creek town, Arizona","","","","","","","",""
"    Estimate","50,534","15,660","4,603","4,015","8,893","7,392","5,297","4,674"
"Rio Rico CDP, Arizona","","","","","","","",""
"    Estimate","20,376","5,658","2,597","2,635","2,218","2,443","2,398","2,427"
"Sahuarita town, Arizona","","","","","","","",""
"    Estimate","31,420","7,046","2,464","4,713","2,232","4,211","2,736","8,018"
"San Luis city, Arizona","","","","","","","",""
"    Estimate","34,768","8,832","4,926","5,046","4,442","4,987","3,128","3,407"
"San Tan Valley CDP, Arizona","","","","","","","",""
"    Estimate","100,732","29,257","9,113","13,219","14,817","11,031","12,173","11,122"
"Scottsdale city, Arizona","","","","","","","",""
"    Estimate","258,064","35,674","17,422","35,847","23,746","34,657","39,614","71,104"
"Sierra Vista city, Arizona","","","","","","","",""
"    Estimate","43,045","9,808","4,920","5,893","5,939","3,980","4,123","8,382"
"Sun City CDP, Arizona","","","","","","","",""
"    Estimate","35,693","0","384","450","551","1,762","6,181","26,365"
"Sun City West CDP, Arizona","","","","","","","",""
"    Estimate","25,736","0","59","0","415","697","2,924","21,641"
"Surprise city, Arizona","","","","","","","",""
"    Estimate","141,674","39,341","8,467","15,147","18,752","15,879","13,835","30,253"
"Tempe city, Arizona","","","","","","","",""
"    Estimate","195,816","25,323","44,582","47,753","20,799","19,003","16,230","22,126"
"Tucson city, Arizona","","","","","","","",""
"    Estimate","548,082","109,425","83,200","85,337","66,681","58,814","60,682","83,943"
"Yuma city, Arizona","","","","","","","",""
"    Estimate","98,296","27,685","11,751","16,593","10,321","8,408","9,380","14,158"
"Bella Vista city, Arkansas","","","","","","","",""
"    Estimate","28,871","5,522","793","3,072","3,923","1,950","3,369","10,242"
"Benton city, Arkansas","","","","","","","",""
"    Estimate","36,809","10,591","3,730","4,715","5,416","4,012","3,497","4,848"
"Bentonville city, Arkansas","","","","","","","",""
"    Estimate","54,900","14,479","4,433","10,498","9,158","6,751","5,161","4,420"
"Cabot city, Arkansas","","","","","","","",""
"    Estimate","26,354","6,560","1,996","3,073","4,947","3,583","3,371","2,824"
"Conway city, Arkansas","","","","","","","",""
"    Estimate","67,640","14,688","15,492","8,813","8,925","5,665","6,055","8,002"
"Fayetteville city, Arkansas","","","","","","","",""
"    Estimate","87,585","14,782","23,054","16,412","10,240","7,163","7,610","8,324"
"Fort Smith city, Arkansas","","","","","","","",""
"    Estimate","87,895","20,517","8,964","12,514","10,768","10,546","11,061","13,525"
"Hot Springs city, Arkansas","","","","","","","",""
"    Estimate","38,799","7,305","3,949","3,573","5,644","4,630","5,735","7,963"
"Jacksonville city, Arkansas","","","","","","","",""
"    Estimate","28,239","6,900","3,624","5,276","1,849","2,358","3,870","4,362"
"Jonesboro city, Arkansas","","","","","","","",""
"    Estimate","78,380","17,712","11,481","10,460","10,958","9,416","8,574","9,779"
"Little Rock city, Arkansas","","","","","","","",""
"    Estimate","197,318","44,380","18,096","30,222","26,336","25,497","23,997","28,790"
"North Little Rock city, Arkansas","","","","","","","",""
"    Estimate","65,899","16,663","5,177","10,970","7,593","6,223","8,990","10,283"
"Paragould city, Arkansas","","","","","","","",""
"    Estimate","29,342","7,211","2,858","4,812","4,482","2,895","3,468","3,616"
"Pine Bluff city, Arkansas","","","","","","","",""
"    Estimate","41,478","8,102","5,775","5,764","4,407","4,331","5,943","7,156"
"Rogers city, Arkansas","","","","","","","",""
"    Estimate","68,674","18,933","6,692","11,300","8,655","9,167","7,644","6,283"
"Russellville city, Arkansas","","","","","","","",""
"    Estimate","29,174","5,937","5,926","3,575","1,938","3,895","3,689","4,214"
