"Label (Grouping)","Median earnings in the past 12 months (in 2019 Inflation-adjusted dollars) --!!Total (dollars):"
"Atascadero city, California",""
"    Estimate","33,649"
"Atwater city, California",""
"    Estimate","33,575"
"Azusa city, California",""
"    Estimate","30,022"
"Bakersfield city, California",""
"    Estimate","33,297"
"Baldwin Park city, California",""
"    Estimate","30,157"
"Banning city, California",""
"    Estimate","26,158"
"Barstow city, California",""
"    Estimate","30,152"
"Bay Point CDP, California",""
"    Estimate","37,819"
"Beaumont city, California",""
"    Estimate","46,405"
"Bell city, California",""
"    Estimate","27,023"
"Bellflower city, California",""
"    Estimate","33,467"
"Bell Gardens city, California",""
"    Estimate","21,586"
"Belmont city, California",""
"    Estimate","92,386"
"Benicia city, California",""
"    Estimate","56,782"
"Berkeley city, California",""
"    Estimate","41,458"
"Beverly Hills city, California",""
"    Estimate","65,955"
"Bloomington CDP, California",""
"    Estimate","28,024"
"Blythe city, California",""
"    Estimate","23,841"
"Brawley city, California",""
"    Estimate","32,238"
"Brea city, California",""
"    Estimate","45,898"
"Brentwood city, California",""
"    Estimate","54,543"
"Buena Park city, California",""
"    Estimate","41,383"
"Burbank city, California",""
"    Estimate","46,498"
"Burlingame city, California",""
"    Estimate","97,152"
"Calabasas city, California",""
"    Estimate","66,029"
"Calexico city, California",""
"    Estimate","23,527"
"Camarillo city, California",""
"    Estimate","46,551"
"Campbell city, California",""
"    Estimate","71,980"
"Carlsbad city, California",""
"    Estimate","56,661"
"Carmichael CDP, California",""
"    Estimate","35,115"
"Carson city, California",""
"    Estimate","39,009"
"Casa de Oro-Mount Helix CDP, California",""
"    Estimate","46,323"
"Castro Valley CDP, California",""
"    Estimate","62,015"
"Cathedral City city, California",""
"    Estimate","29,197"
"Ceres city, California",""
"    Estimate","40,026"
"Cerritos city, California",""
"    Estimate","43,734"
"Chico city, California",""
"    Estimate","25,915"
"Chino city, California",""
"    Estimate","36,221"
"Chino Hills city, California",""
"    Estimate","53,912"
"Chowchilla city, California",""
"    Estimate","15,685"
"Chula Vista city, California",""
"    Estimate","41,008"
"Citrus Heights city, California",""
"    Estimate","34,800"
"Claremont city, California",""
"    Estimate","36,833"
"Clovis city, California",""
"    Estimate","46,113"
"Coachella city, California",""
"    Estimate","26,351"
"Colton city, California",""
"    Estimate","34,072"
"Compton city, California",""
"    Estimate","27,210"
"Concord city, California",""
"    Estimate","45,308"
"Corcoran city, California",""
"    Estimate","27,057"
"Corona city, California",""
"    Estimate","41,511"
"Coronado city, California",""
"    Estimate","40,469"
"Costa Mesa city, California",""
"    Estimate","41,073"
"Covina city, California",""
"    Estimate","36,031"
"Cudahy city, California",""
"    Estimate","24,966"
"Culver City city, California",""
"    Estimate","71,180"
"Cupertino city, California",""
"    Estimate","121,562"
"Cypress city, California",""
"    Estimate","44,930"
"Daly City city, California",""
"    Estimate","42,952"
"Dana Point city, California",""
"    Estimate","45,529"
"Danville town, California",""
"    Estimate","77,139"
"Davis city, California",""
"    Estimate","27,234"
"Delano city, California",""
"    Estimate","20,114"
"Desert Hot Springs city, California",""
"    Estimate","28,209"
"Diamond Bar city, California",""
"    Estimate","48,018"
"Dinuba city, California",""
"    Estimate","30,585"
"Dixon city, California",""
"    Estimate","30,599"
"Downey city, California",""
"    Estimate","35,423"
"Duarte city, California",""
"    Estimate","33,564"
"Dublin city, California",""
"    Estimate","91,873"
"East Hemet CDP, California",""
"    Estimate","34,043"
"East Los Angeles CDP, California",""
"    Estimate","25,180"
"East Palo Alto city, California",""
"    Estimate","33,476"
"Eastvale city, California",""
"    Estimate","48,327"
"El Cajon city, California",""
"    Estimate","29,997"
"El Centro city, California",""
"    Estimate","27,800"
"El Cerrito city, California",""
"    Estimate","54,411"
"El Dorado Hills CDP, California",""
"    Estimate","65,947"
"Elk Grove city, California",""
"    Estimate","48,095"
"El Monte city, California",""
"    Estimate","27,121"
"El Paso de Robles (Paso Robles) city, California",""
"    Estimate","31,661"
"Encinitas city, California",""
"    Estimate","60,785"
"Escondido city, California",""
"    Estimate","32,937"
"Eureka city, California",""
"    Estimate","35,458"
"Fairfield city, California",""
"    Estimate","40,850"
"Fair Oaks CDP, California",""
"    Estimate","51,608"
"Fallbrook CDP, California",""
"    Estimate","36,359"
"Florence-Graham CDP, California",""
"    Estimate","24,123"
"Florin CDP, California",""
"    Estimate","31,752"
"Folsom city, California",""
"    Estimate","65,829"
"Fontana city, California",""
"    Estimate","36,597"
"Foothill Farms CDP, California",""
"    Estimate","33,338"
"Foster City city, California",""
"    Estimate","103,044"
"Fountain Valley city, California",""
"    Estimate","44,328"
"Fremont city, California",""
"    Estimate","75,542"
"French Valley CDP, California",""
"    Estimate","51,631"
"Fresno city, California",""
"    Estimate","30,840"
"Fullerton city, California",""
"    Estimate","45,639"
"Galt city, California",""
"    Estimate","39,811"
"Gardena city, California",""
"    Estimate","33,228"
"Garden Grove city, California",""
"    Estimate","34,222"
"Gilroy city, California",""
"    Estimate","40,983"
"Glendale city, California",""
"    Estimate","41,643"
"Glendora city, California",""
"    Estimate","40,970"
"Goleta city, California",""
"    Estimate","35,873"
"Granite Bay CDP, California",""
"    Estimate","76,470"
"Greenfield city, California",""
"    Estimate","23,903"
"Hacienda Heights CDP, California",""
"    Estimate","37,505"
"Hanford city, California",""
"    Estimate","36,746"
"Hawthorne city, California",""
"    Estimate","35,132"
"Hayward city, California",""
"    Estimate","48,362"
"Hemet city, California",""
"    Estimate","31,794"
"Hercules city, California",""
"    Estimate","65,956"
"Hesperia city, California",""
"    Estimate","27,266"
"Highland city, California",""
"    Estimate","35,708"
"Hollister city, California",""
"    Estimate","32,087"
"Huntington Beach city, California",""
"    Estimate","46,628"
"Huntington Park city, California",""
"    Estimate","26,516"
"Imperial Beach city, California",""
"    Estimate","31,035"
"Indio city, California",""
"    Estimate","31,133"
"Inglewood city, California",""
"    Estimate","31,924"
"Irvine city, California",""
"    Estimate","61,605"
"Isla Vista CDP, California",""
"    Estimate","4,560"
"Jurupa Valley city, California",""
"    Estimate","31,749"
"La Cañada Flintridge city, California",""
"    Estimate","92,060"
"La Crescenta-Montrose CDP, California",""
"    Estimate","50,901"
"Ladera Ranch CDP, California",""
"    Estimate","69,926"
"Lafayette city, California",""
"    Estimate","83,625"
"Laguna Beach city, California",""
"    Estimate","61,001"
"Laguna Hills city, California",""
"    Estimate","50,721"
"Laguna Niguel city, California",""
"    Estimate","53,400"
"La Habra city, California",""
"    Estimate","31,386"
"Lake Elsinore city, California",""
"    Estimate","38,152"
"Lake Forest city, California",""
"    Estimate","54,050"
"Lakeside CDP, California",""
"    Estimate","45,291"
"Lakewood city, California",""
"    Estimate","48,109"
"La Mesa city, California",""
"    Estimate","36,061"
"La Mirada city, California",""
"    Estimate","42,306"
"Lancaster city, California",""
"    Estimate","40,962"
"La Presa CDP, California",""
"    Estimate","33,561"
"La Puente city, California",""
"    Estimate","28,609"
"La Quinta city, California",""
"    Estimate","38,129"
"Lathrop city, California",""
"    Estimate","40,306"
