"Label (Grouping)","Total:","Total:!!Under .50","Total:!!.50 to .99"
"Jonesboro city, Arkansas","","",""
"    Estimate","74,730","8,051","6,508"
"Little Rock city, Arkansas","","",""
"    Estimate","193,622","12,587","11,267"
"North Little Rock city, Arkansas","","",""
"    Estimate","65,235","7,203","5,090"
"Paragould city, Arkansas","","",""
"    Estimate","28,317","1,475","3,630"
"Pine Bluff city, Arkansas","","",""
"    Estimate","36,728","4,199","6,501"
"Rogers city, Arkansas","","",""
"    Estimate","68,128","2,128","4,640"
"Russellville city, Arkansas","","",""
"    Estimate","25,753","2,055","2,157"
"Searcy city, Arkansas","","",""
"    Estimate","20,147","2,129","1,988"
"Sherwood city, Arkansas","","",""
"    Estimate","31,332","1,057","2,004"
"Siloam Springs city, Arkansas","","",""
"    Estimate","19,352","2,956","890"
"Springdale city, Arkansas","","",""
"    Estimate","79,609","4,950","11,537"
"Texarkana city, Arkansas","","",""
"    Estimate","31,998","1,142","1,827"
"Van Buren city, Arkansas","","",""
"    Estimate","23,502","1,630","2,691"
"West Memphis city, Arkansas","","",""
"    Estimate","21,964","2,608","1,961"
"Adelanto city, California","","",""
"    Estimate","31,200","1,768","2,102"
"Alameda city, California","","",""
"    Estimate","76,671","3,613","2,978"
"Albany city, California","","",""
"    Estimate","21,108","1,334","810"
"Alhambra city, California","","",""
"    Estimate","83,059","2,254","4,665"
"Aliso Viejo city, California","","",""
"    Estimate","50,441","1,880","1,197"
"Altadena CDP, California","","",""
"    Estimate","45,916","1,148","753"
"American Canyon city, California","","",""
"    Estimate","22,796","655","536"
"Anaheim city, California","","",""
"    Estimate","345,545","17,027","26,601"
"Antelope CDP, California","","",""
"    Estimate","50,736","442","2,647"
"Antioch city, California","","",""
"    Estimate","110,285","5,905","10,831"
"Apple Valley town, California","","",""
"    Estimate","72,870","3,311","5,142"
"Arcadia city, California","","",""
"    Estimate","57,291","2,227","2,397"
"Arden-Arcade CDP, California","","",""
"    Estimate","107,057","9,709","10,916"
"Arvin city, California","","",""
"    Estimate","29,719","3,376","5,946"
"Ashland CDP, California","","",""
"    Estimate","24,256","829","1,105"
"Atascadero city, California","","",""
"    Estimate","29,922","1,638","1,323"
"Atwater city, California","","",""
"    Estimate","28,888","1,257","4,281"
"Azusa city, California","","",""
"    Estimate","43,747","3,093","3,494"
"Bakersfield city, California","","",""
"    Estimate","379,606","22,541","33,025"
"Baldwin Park city, California","","",""
"    Estimate","74,667","2,058","6,049"
"Banning city, California","","",""
"    Estimate","30,088","1,497","2,622"
"Barstow city, California","","",""
"    Estimate","21,604","2,575","2,522"
"Bay Point CDP, California","","",""
"    Estimate","25,734","647","1,646"
"Beaumont city, California","","",""
"    Estimate","49,918","3,378","1,291"
"Bell city, California","","",""
"    Estimate","35,329","2,573","6,903"
"Bellflower city, California","","",""
"    Estimate","75,962","4,720","3,382"
"Bell Gardens city, California","","",""
"    Estimate","41,099","2,941","8,944"
"Belmont city, California","","",""
"    Estimate","26,452","384","865"
"Benicia city, California","","",""
"    Estimate","28,236","317","711"
"Berkeley city, California","","",""
"    Estimate","109,089","15,913","4,524"
"Beverly Hills city, California","","",""
"    Estimate","33,742","2,092","781"
"Bloomington CDP, California","","",""
"    Estimate","23,982","3,470","2,816"
"Blythe city, California","","",""
"    Estimate","15,116","1,684","1,811"
"Brawley city, California","","",""
"    Estimate","26,043","2,890","4,984"
"Brea city, California","","",""
"    Estimate","43,159","1,298","1,754"
"Brentwood city, California","","",""
"    Estimate","64,280","1,148","1,142"
"Buena Park city, California","","",""
"    Estimate","81,349","2,401","2,778"
"Burbank city, California","","",""
"    Estimate","101,957","4,785","6,167"
"Burlingame city, California","","",""
"    Estimate","30,580","748","151"
"Calabasas city, California","","",""
"    Estimate","20,449","1,012","152"
"Calexico city, California","","",""
"    Estimate","39,674","3,979","6,776"
"Camarillo city, California","","",""
"    Estimate","69,119","1,820","3,211"
"Campbell city, California","","",""
"    Estimate","41,647","770","896"
"Carlsbad city, California","","",""
"    Estimate","114,808","3,551","1,905"
"Carmichael CDP, California","","",""
"    Estimate","66,154","2,320","3,562"
"Carson city, California","","",""
"    Estimate","91,165","2,731","3,754"
"Casa de Oro-Mount Helix CDP, California","","",""
"    Estimate","19,999","594","418"
"Castro Valley CDP, California","","",""
"    Estimate","59,571","755","3,857"
"Cathedral City city, California","","",""
"    Estimate","54,944","3,536","6,133"
"Ceres city, California","","",""
"    Estimate","48,145","4,158","1,658"
"Cerritos city, California","","",""
"    Estimate","49,808","531","1,953"
"Chico city, California","","",""
"    Estimate","99,552","11,289","8,006"
"Chino city, California","","",""
"    Estimate","87,528","2,897","2,955"
"Chino Hills city, California","","",""
"    Estimate","83,747","2,045","998"
"Chowchilla city, California","","",""
"    Estimate","13,535","1,861","1,741"
"Chula Vista city, California","","",""
"    Estimate","271,839","9,214","14,553"
"Citrus Heights city, California","","",""
"    Estimate","87,172","4,650","5,421"
"Claremont city, California","","",""
"    Estimate","32,203","475","838"
"Clovis city, California","","",""
"    Estimate","113,748","4,911","3,869"
"Coachella city, California","","",""
"    Estimate","45,127","4,083","1,954"
"Colton city, California","","",""
"    Estimate","54,432","4,196","4,666"
"Compton city, California","","",""
"    Estimate","95,202","2,467","9,042"
"Concord city, California","","",""
"    Estimate","128,470","7,737","3,889"
"Corcoran city, California","","",""
"    Estimate","15,134","1,828","2,430"
"Corona city, California","","",""
"    Estimate","169,275","5,208","9,547"
"Coronado city, California","","",""
"    Estimate","18,562","694","118"
"Costa Mesa city, California","","",""
"    Estimate","111,230","4,650","5,550"
"Covina city, California","","",""
"    Estimate","47,149","1,373","4,006"
"Cudahy city, California","","",""
"    Estimate","22,737","2,422","3,210"
"Culver City city, California","","",""
"    Estimate","38,847","1,121","647"
"Cupertino city, California","","",""
"    Estimate","58,970","2,009","1,423"
"Cypress city, California","","",""
"    Estimate","49,009","1,179","2,986"
"Daly City city, California","","",""
"    Estimate","105,876","3,089","3,058"
"Dana Point city, California","","",""
"    Estimate","33,511","1,082","1,484"
"Danville town, California","","",""
"    Estimate","","",""
"Davis city, California","","",""
"    Estimate","67,325","13,985","5,808"
"Delano city, California","","",""
"    Estimate","48,330","1,151","6,820"
"Desert Hot Springs city, California","","",""
"    Estimate","28,779","3,926","2,225"
"Diamond Bar city, California","","",""
"    Estimate","55,560","1,968","1,628"
"Dinuba city, California","","",""
"    Estimate","24,376","958","5,974"
"Dixon city, California","","",""
"    Estimate","23,571","474","1,401"
"Downey city, California","","",""
"    Estimate","110,583","3,667","5,202"
"Duarte city, California","","",""
"    Estimate","20,084","694","1,319"
"Dublin city, California","","",""
