"Label (Grouping)","Total:","Total:!!9th to 12th grade, no diploma","Total:!!High school graduate (includes equivalency)","Total:!!Bachelor's degree","Total:!!Graduate or professional degree"
"Sahuarita town, Arizona","","","","",""
"    Estimate","21,910","1,172","4,884","3,947","4,550"
"San Luis city, Arizona","","","","",""
"    Estimate","21,010","4,476","4,484","1,178","334"
"San Tan Valley CDP, Arizona","","","","",""
"    Estimate","62,362","2,671","19,670","11,034","3,590"
"Scottsdale city, Arizona","","","","",""
"    Estimate","204,968","4,054","25,120","72,190","52,007"
"Sierra Vista city, Arizona","","","","",""
"    Estimate","28,317","1,471","6,098","5,360","3,988"
"Sun City CDP, Arizona","","","","",""
"    Estimate","35,309","1,135","10,206","6,469","3,444"
"Sun City West CDP, Arizona","","","","",""
"    Estimate","25,677","1,095","5,608","5,295","4,549"
"Surprise city, Arizona","","","","",""
"    Estimate","93,866","4,170","24,046","19,801","10,491"
"Tempe city, Arizona","","","","",""
"    Estimate","125,911","3,564","14,015","37,809","25,475"
"Tucson city, Arizona","","","","",""
"    Estimate","355,457","34,823","82,862","59,204","37,920"
"Yuma city, Arizona","","","","",""
"    Estimate","58,860","4,639","15,377","6,301","3,443"
"Bella Vista city, Arkansas","","","","",""
"    Estimate","22,556","493","6,163","4,543","2,798"
"Benton city, Arkansas","","","","",""
"    Estimate","22,488","2,011","7,497","5,392","1,971"
"Bentonville city, Arkansas","","","","",""
"    Estimate","35,988","1,287","6,903","11,256","7,244"
"Cabot city, Arkansas","","","","",""
"    Estimate","17,798","550","6,363","3,247","1,608"
"Conway city, Arkansas","","","","",""
"    Estimate","37,460","1,332","9,283","10,782","4,120"
"Fayetteville city, Arkansas","","","","",""
"    Estimate","49,749","2,105","10,646","13,675","10,526"
"Fort Smith city, Arkansas","","","","",""
"    Estimate","58,414","6,676","15,866","10,036","5,016"
"Hot Springs city, Arkansas","","","","",""
"    Estimate","27,545","2,446","7,819","4,840","3,080"
"Jacksonville city, Arkansas","","","","",""
"    Estimate","17,715","774","5,053","2,557","1,284"
"Jonesboro city, Arkansas","","","","",""
"    Estimate","49,187","2,754","14,362","8,668","5,868"
"Little Rock city, Arkansas","","","","",""
"    Estimate","134,842","7,366","29,623","31,573","26,049"
"North Little Rock city, Arkansas","","","","",""
"    Estimate","44,059","2,967","13,233","8,762","3,868"
"Paragould city, Arkansas","","","","",""
"    Estimate","19,273","801","8,883","2,681","1,446"
"Pine Bluff city, Arkansas","","","","",""
"    Estimate","27,601","2,880","8,909","3,496","1,848"
"Rogers city, Arkansas","","","","",""
"    Estimate","43,049","2,422","13,157","10,022","4,656"
"Russellville city, Arkansas","","","","",""
"    Estimate","17,311","1,925","4,182","2,614","2,207"
"Searcy city, Arkansas","","","","",""
