"Label (Grouping)","Total:","Total:!!Occupied","Total:!!Vacant"
"    Estimate","21,375","16,571","4,804"
"Jacksonville city, Arkansas","","",""
"    Estimate","14,220","11,948","2,272"
"Jonesboro city, Arkansas","","",""
"    Estimate","33,769","29,688","4,081"
"Little Rock city, Arkansas","","",""
"    Estimate","97,530","80,063","17,467"
"North Little Rock city, Arkansas","","",""
"    Estimate","31,875","27,903","3,972"
"Paragould city, Arkansas","","",""
"    Estimate","11,831","11,443","388"
"Pine Bluff city, Arkansas","","",""
"    Estimate","23,157","19,009","4,148"
"Rogers city, Arkansas","","",""
"    Estimate","26,325","24,297","2,028"
"Russellville city, Arkansas","","",""
"    Estimate","13,277","11,143","2,134"
"Searcy city, Arkansas","","",""
"    Estimate","10,518","8,692","1,826"
"Sherwood city, Arkansas","","",""
"    Estimate","13,798","12,282","1,516"
"Siloam Springs city, Arkansas","","",""
"    Estimate","6,710","6,258","452"
"Springdale city, Arkansas","","",""
"    Estimate","28,115","26,443","1,672"
"Texarkana city, Arkansas","","",""
"    Estimate","14,529","11,743","2,786"
"Van Buren city, Arkansas","","",""
"    Estimate","10,910","10,072","838"
"West Memphis city, Arkansas","","",""
"    Estimate","11,098","9,787","1,311"
"Adelanto city, California","","",""
"    Estimate","8,321","7,775","546"
"Alameda city, California","","",""
"    Estimate","33,241","30,788","2,453"
"Albany city, California","","",""
"    Estimate","8,498","8,120","378"
"Alhambra city, California","","",""
"    Estimate","30,471","28,777","1,694"
"Aliso Viejo city, California","","",""
"    Estimate","19,925","18,827","1,098"
"Altadena CDP, California","","",""
"    Estimate","16,421","14,800","1,621"
"American Canyon city, California","","",""
"    Estimate","5,736","5,640","96"
"Anaheim city, California","","",""
"    Estimate","110,647","105,301","5,346"
"Antelope CDP, California","","",""
"    Estimate","14,661","14,661","0"
"Antioch city, California","","",""
"    Estimate","36,663","36,138","525"
"Apple Valley town, California","","",""
"    Estimate","27,510","23,774","3,736"
"Arcadia city, California","","",""
"    Estimate","21,482","19,705","1,777"
"Arden-Arcade CDP, California","","",""
