"Label (Grouping)","Total:","Total:!!With private health insurance","Total:!!No private health insurance"
"    Estimate","87,122","44,104","43,018"
"Hot Springs city, Arkansas","","",""
"    Estimate","37,754","18,699","19,055"
"Jacksonville city, Arkansas","","",""
"    Estimate","26,213","13,347","12,866"
"Jonesboro city, Arkansas","","",""
"    Estimate","77,265","47,478","29,787"
"Little Rock city, Arkansas","","",""
"    Estimate","195,114","126,718","68,396"
"North Little Rock city, Arkansas","","",""
"    Estimate","64,736","35,591","29,145"
"Paragould city, Arkansas","","",""
"    Estimate","28,806","15,921","12,885"
"Pine Bluff city, Arkansas","","",""
"    Estimate","38,487","20,270","18,217"
"Rogers city, Arkansas","","",""
"    Estimate","68,165","44,304","23,861"
"Russellville city, Arkansas","","",""
"    Estimate","28,665","18,144","10,521"
"Searcy city, Arkansas","","",""
"    Estimate","23,387","14,946","8,441"
"Sherwood city, Arkansas","","",""
"    Estimate","30,594","22,156","8,438"
"Siloam Springs city, Arkansas","","",""
"    Estimate","20,394","11,396","8,998"
"Springdale city, Arkansas","","",""
"    Estimate","79,732","41,565","38,167"
"Texarkana city, Arkansas","","",""
"    Estimate","32,017","16,287","15,730"
"Van Buren city, Arkansas","","",""
"    Estimate","23,502","13,791","9,711"
"West Memphis city, Arkansas","","",""
"    Estimate","22,502","10,864","11,638"
"Adelanto city, California","","",""
"    Estimate","31,200","13,277","17,923"
"Alameda city, California","","",""
"    Estimate","76,349","59,992","16,357"
"Albany city, California","","",""
"    Estimate","21,108","17,910","3,198"
"Alhambra city, California","","",""
"    Estimate","83,113","52,206","30,907"
"Aliso Viejo city, California","","",""
"    Estimate","50,825","41,817","9,008"
"Altadena CDP, California","","",""
"    Estimate","45,967","32,578","13,389"
"American Canyon city, California","","",""
"    Estimate","23,111","17,135","5,976"
"Anaheim city, California","","",""
"    Estimate","348,028","209,129","138,899"
"Antelope CDP, California","","",""
"    Estimate","50,969","33,981","16,988"
"Antioch city, California","","",""
"    Estimate","111,230","69,119","42,111"
"Apple Valley town, California","","",""
"    Estimate","73,033","36,720","36,313"
"Arcadia city, California","","",""
"    Estimate","57,650","43,798","13,852"
"Arden-Arcade CDP, California","","",""
"    Estimate","107,671","53,489","54,182"
"Arvin city, California","","",""
"    Estimate","29,477","8,195","21,282"
"Ashland CDP, California","","",""
"    Estimate","24,256","16,102","8,154"
"Atascadero city, California","","",""
"    Estimate","29,892","20,907","8,985"
"Atwater city, California","","",""
"    Estimate","29,379","14,022","15,357"
"Azusa city, California","","",""
"    Estimate","49,813","29,756","20,057"
"Bakersfield city, California","","",""
"    Estimate","381,823","213,649","168,174"
"Baldwin Park city, California","","",""
"    Estimate","74,922","36,669","38,253"
"Banning city, California","","",""
"    Estimate","30,088","13,342","16,746"
"Barstow city, California","","",""
"    Estimate","21,798","10,001","11,797"
"Bay Point CDP, California","","",""
"    Estimate","25,734","11,911","13,823"
"Beaumont city, California","","",""
"    Estimate","50,805","38,265","12,540"
"Bell city, California","","",""
"    Estimate","35,429","10,687","24,742"
"Bellflower city, California","","",""
"    Estimate","76,086","46,743","29,343"
"Bell Gardens city, California","","",""
"    Estimate","41,736","10,498","31,238"
"Belmont city, California","","",""
"    Estimate","26,704","23,563","3,141"
"Benicia city, California","","",""
"    Estimate","28,236","22,533","5,703"
"Berkeley city, California","","",""
"    Estimate","121,010","100,697","20,313"
"Beverly Hills city, California","","",""
"    Estimate","33,742","26,452","7,290"
