"Label (Grouping)","Total:","Total:!!With public coverage","Total:!!No public coverage"
"    Estimate","87,122","37,712","49,410"
"Hot Springs city, Arkansas","","",""
"    Estimate","37,754","17,680","20,074"
"Jacksonville city, Arkansas","","",""
"    Estimate","26,213","15,472","10,741"
"Jonesboro city, Arkansas","","",""
"    Estimate","77,265","32,676","44,589"
"Little Rock city, Arkansas","","",""
"    Estimate","195,114","74,568","120,546"
"North Little Rock city, Arkansas","","",""
"    Estimate","64,736","27,131","37,605"
"Paragould city, Arkansas","","",""
"    Estimate","28,806","12,056","16,750"
"Pine Bluff city, Arkansas","","",""
"    Estimate","38,487","19,532","18,955"
"Rogers city, Arkansas","","",""
"    Estimate","68,165","18,106","50,059"
"Russellville city, Arkansas","","",""
"    Estimate","28,665","12,012","16,653"
"Searcy city, Arkansas","","",""
"    Estimate","23,387","9,784","13,603"
"Sherwood city, Arkansas","","",""
"    Estimate","30,594","12,558","18,036"
"Siloam Springs city, Arkansas","","",""
"    Estimate","20,394","7,532","12,862"
"Springdale city, Arkansas","","",""
"    Estimate","79,732","30,824","48,908"
"Texarkana city, Arkansas","","",""
"    Estimate","32,017","14,961","17,056"
"Van Buren city, Arkansas","","",""
"    Estimate","23,502","10,975","12,527"
"West Memphis city, Arkansas","","",""
"    Estimate","22,502","11,697","10,805"
"Adelanto city, California","","",""
"    Estimate","31,200","14,421","16,779"
"Alameda city, California","","",""
"    Estimate","76,349","22,531","53,818"
"Albany city, California","","",""
"    Estimate","21,108","5,194","15,914"
"Alhambra city, California","","",""
"    Estimate","83,113","31,397","51,716"
"Aliso Viejo city, California","","",""
"    Estimate","50,825","9,549","41,276"
"Altadena CDP, California","","",""
"    Estimate","45,967","17,804","28,163"
"American Canyon city, California","","",""
"    Estimate","23,111","6,845","16,266"
"Anaheim city, California","","",""
"    Estimate","348,028","120,568","227,460"
"Antelope CDP, California","","",""
"    Estimate","50,969","19,658","31,311"
"Antioch city, California","","",""
"    Estimate","111,230","46,394","64,836"
"Apple Valley town, California","","",""
"    Estimate","73,033","36,761","36,272"
"Arcadia city, California","","",""
"    Estimate","57,650","16,450","41,200"
"Arden-Arcade CDP, California","","",""
"    Estimate","107,671","60,055","47,616"
"Arvin city, California","","",""
"    Estimate","29,477","19,817","9,660"
"Ashland CDP, California","","",""
"    Estimate","24,256","8,353","15,903"
"Atascadero city, California","","",""
"    Estimate","29,892","12,204","17,688"
"Atwater city, California","","",""
"    Estimate","29,379","15,030","14,349"
"Azusa city, California","","",""
"    Estimate","49,813","18,969","30,844"
"Bakersfield city, California","","",""
"    Estimate","381,823","164,611","217,212"
"Baldwin Park city, California","","",""
"    Estimate","74,922","33,999","40,923"
"Banning city, California","","",""
"    Estimate","30,088","19,170","10,918"
"Barstow city, California","","",""
"    Estimate","21,798","13,924","7,874"
"Bay Point CDP, California","","",""
"    Estimate","25,734","11,479","14,255"
"Beaumont city, California","","",""
"    Estimate","50,805","15,189","35,616"
"Bell city, California","","",""
"    Estimate","35,429","20,009","15,420"
"Bellflower city, California","","",""
"    Estimate","76,086","28,283","47,803"
"Bell Gardens city, California","","",""
"    Estimate","41,736","23,861","17,875"
"Belmont city, California","","",""
"    Estimate","26,704","6,305","20,399"
"Benicia city, California","","",""
"    Estimate","28,236","9,751","18,485"
"Berkeley city, California","","",""
"    Estimate","121,010","31,152","89,858"
"Beverly Hills city, California","","",""
"    Estimate","33,742","10,383","23,359"
"Bloomington CDP, California","","",""
"    Estimate","24,097","12,184","11,913"
"Blythe city, California","","",""
"    Estimate","15,144","8,352","6,792"
"Brawley city, California","","",""
"    Estimate","26,145","17,779","8,366"
"Brea city, California","","",""
"    Estimate","43,268","12,183","31,085"
"Brentwood city, California","","",""
"    Estimate","64,470","19,818","44,652"
"Buena Park city, California","","",""
"    Estimate","81,487","28,432","53,055"
"Burbank city, California","","",""
"    Estimate","102,102","31,978","70,124"
"Burlingame city, California","","",""
"    Estimate","30,618","5,607","25,011"
"Calabasas city, California","","",""
"    Estimate","20,449","6,242","14,207"
"Calexico city, California","","",""
"    Estimate","39,801","25,239","14,562"
"Camarillo city, California","","",""
"    Estimate","69,220","23,003","46,217"
"Campbell city, California","","",""
"    Estimate","41,541","8,958","32,583"
"Carlsbad city, California","","",""
"    Estimate","114,946","29,231","85,715"
"Carmichael CDP, California","","",""
"    Estimate","66,380","28,982","37,398"
"Carson city, California","","",""
"    Estimate","91,276","34,331","56,945"
"Casa de Oro-Mount Helix CDP, California","","",""
"    Estimate","20,167","9,375","10,792"
"Castro Valley CDP, California","","",""
"    Estimate","59,571","14,387","45,184"
"Cathedral City city, California","","",""
"    Estimate","54,944","29,891","25,053"
"Ceres city, California","","",""
"    Estimate","48,190","22,607","25,583"
"Cerritos city, California","","",""
"    Estimate","49,808","17,579","32,229"
"Chico city, California","","",""
"    Estimate","102,599","39,397","63,202"
"Chino city, California","","",""
"    Estimate","87,608","27,454","60,154"
"Chino Hills city, California","","",""
"    Estimate","83,747","17,783","65,964"
"Chowchilla city, California","","",""
"    Estimate","13,535","8,352","5,183"
"Chula Vista city, California","","",""
"    Estimate","267,862","82,108","185,754"
"Citrus Heights city, California","","",""
"    Estimate","87,432","34,229","53,203"
"Claremont city, California","","",""
"    Estimate","35,946","10,369","25,577"
"Clovis city, California","","",""
"    Estimate","114,246","37,309","76,937"
"Coachella city, California","","",""
"    Estimate","45,749","17,687","28,062"
"Colton city, California","","",""
"    Estimate","54,560","21,227","33,333"
"Compton city, California","","",""
"    Estimate","95,310","47,583","47,727"
"Concord city, California","","",""
"    Estimate","128,700","45,005","83,695"
"Corcoran city, California","","",""
