"Label (Grouping)","Total:!!In labor force:!!Civilian labor force:","Total:!!In labor force:!!Civilian labor force:!!Employed","Total:!!In labor force:!!Civilian labor force:!!Unemployed"
"    Estimate","17,029","16,274","755"
"Jacksonville city, Arkansas","","",""
"    Estimate","10,962","10,790","172"
"Jonesboro city, Arkansas","","",""
"    Estimate","39,214","36,223","2,991"
"Little Rock city, Arkansas","","",""
"    Estimate","102,373","98,295","4,078"
"North Little Rock city, Arkansas","","",""
"    Estimate","31,341","30,215","1,126"
"Paragould city, Arkansas","","",""
"    Estimate","13,839","12,302","1,537"
"Pine Bluff city, Arkansas","","",""
"    Estimate","18,805","17,412","1,393"
"Rogers city, Arkansas","","",""
"    Estimate","36,057","35,303","754"
"Russellville city, Arkansas","","",""
"    Estimate","13,624","12,710","914"
"Searcy city, Arkansas","","",""
"    Estimate","9,151","8,837","314"
"Sherwood city, Arkansas","","",""
"    Estimate","14,257","14,063","194"
"Siloam Springs city, Arkansas","","",""
"    Estimate","8,435","8,176","259"
"Springdale city, Arkansas","","",""
"    Estimate","40,141","36,759","3,382"
"Texarkana city, Arkansas","","",""
"    Estimate","16,140","15,197","943"
"Van Buren city, Arkansas","","",""
"    Estimate","11,492","10,550","942"
"West Memphis city, Arkansas","","",""
"    Estimate","10,987","9,632","1,355"
"Adelanto city, California","","",""
"    Estimate","12,341","10,481","1,860"
"Alameda city, California","","",""
"    Estimate","42,173","40,937","1,236"
"Albany city, California","","",""
"    Estimate","11,599","11,216","383"
"Alhambra city, California","","",""
"    Estimate","46,386","44,496","1,890"
"Aliso Viejo city, California","","",""
"    Estimate","30,684","29,392","1,292"
"Altadena CDP, California","","",""
"    Estimate","23,048","21,700","1,348"
"American Canyon city, California","","",""
"    Estimate","12,001","11,635","366"
"Anaheim city, California","","",""
"    Estimate","193,564","186,332","7,232"
"Antelope CDP, California","","",""
"    Estimate","22,693","22,244","449"
"Antioch city, California","","",""
"    Estimate","57,492","52,096","5,396"
"Apple Valley town, California","","",""
"    Estimate","29,885","26,458","3,427"
"Arcadia city, California","","",""
"    Estimate","26,326","25,577","749"
"Arden-Arcade CDP, California","","",""
"    Estimate","52,426","48,500","3,926"
"Arvin city, California","","",""
"    Estimate","11,765","10,510","1,255"
"Ashland CDP, California","","",""
"    Estimate","13,916","12,511","1,405"
"Atascadero city, California","","",""
"    Estimate","15,450","15,196","254"
"Atwater city, California","","",""
"    Estimate","14,753","13,614","1,139"
"Azusa city, California","","",""
"    Estimate","26,202","25,031","1,171"
"Bakersfield city, California","","",""
"    Estimate","173,442","163,320","10,122"
"Baldwin Park city, California","","",""
"    Estimate","38,595","36,152","2,443"
"Banning city, California","","",""
"    Estimate","12,218","11,329","889"
"Barstow city, California","","",""
"    Estimate","8,316","8,037","279"
"Bay Point CDP, California","","",""
"    Estimate","12,851","12,227","624"
"Beaumont city, California","","",""
"    Estimate","22,931","20,782","2,149"
"Bell city, California","","",""
"    Estimate","16,181","14,924","1,257"
"Bellflower city, California","","",""
"    Estimate","41,243","39,447","1,796"
"Bell Gardens city, California","","",""
"    Estimate","20,268","18,472","1,796"
"Belmont city, California","","",""
"    Estimate","15,384","15,007","377"
"Benicia city, California","","",""
"    Estimate","14,970","14,717","253"
"Berkeley city, California","","",""
"    Estimate","67,478","63,459","4,019"
"Beverly Hills city, California","","",""
"    Estimate","16,352","15,276","1,076"
"Bloomington CDP, California","","",""
"    Estimate","8,889","8,742","147"
"Blythe city, California","","",""
"    Estimate","6,288","5,954","334"
"Brawley city, California","","",""
"    Estimate","8,455","7,921","534"
"Brea city, California","","",""
"    Estimate","24,478","23,489","989"
"Brentwood city, California","","",""
"    Estimate","32,730","31,392","1,338"
"Buena Park city, California","","",""
"    Estimate","46,187","43,755","2,432"
"Burbank city, California","","",""
"    Estimate","57,282","53,658","3,624"
"Burlingame city, California","","",""
"    Estimate","16,497","15,931","566"
"Calabasas city, California","","",""
"    Estimate","11,808","11,161","647"
"Calexico city, California","","",""
"    Estimate","16,609","14,289","2,320"
"Camarillo city, California","","",""
"    Estimate","35,049","34,221","828"
"Campbell city, California","","",""
"    Estimate","23,101","22,208","893"
"Carlsbad city, California","","",""
"    Estimate","61,282","56,797","4,485"
"Carmichael CDP, California","","",""
"    Estimate","32,890","32,106","784"
"Carson city, California","","",""
"    Estimate","49,432","47,509","1,923"
"Casa de Oro-Mount Helix CDP, California","","",""
"    Estimate","9,560","8,994","566"
"Castro Valley CDP, California","","",""
"    Estimate","33,432","32,037","1,395"
"Cathedral City city, California","","",""
"    Estimate","26,039","25,113","926"
"Ceres city, California","","",""
"    Estimate","22,836","20,700","2,136"
"Cerritos city, California","","",""
"    Estimate","24,905","23,980","925"
"Chico city, California","","",""
"    Estimate","55,254","51,807","3,447"
"Chino city, California","","",""
"    Estimate","46,950","46,111","839"
"Chino Hills city, California","","",""
"    Estimate","45,424","44,141","1,283"
"Chowchilla city, California","","",""
"    Estimate","5,869","5,468","401"
"Chula Vista city, California","","",""
"    Estimate","141,087","126,447","14,640"
"Citrus Heights city, California","","",""
"    Estimate","47,915","43,740","4,175"
"Claremont city, California","","",""
"    Estimate","18,995","17,790","1,205"
"Clovis city, California","","",""
"    Estimate","55,180","52,196","2,984"
"Coachella city, California","","",""
"    Estimate","24,425","21,322","3,103"
"Colton city, California","","",""
"    Estimate","25,773","24,699","1,074"
"Compton city, California","","",""
"    Estimate","46,337","42,623","3,714"
"Concord city, California","","",""
"    Estimate","72,201","69,461","2,740"
"Corcoran city, California","","",""
"    Estimate","5,960","5,706","254"
"Corona city, California","","",""
"    Estimate","87,810","83,998","3,812"
"Coronado city, California","","",""
"    Estimate","8,260","8,093","167"
"Costa Mesa city, California","","",""
"    Estimate","66,669","63,351","3,318"
"Covina city, California","","",""
"    Estimate","25,918","25,048","870"
"Cudahy city, California","","",""
"    Estimate","11,960","11,248","712"
"Culver City city, California","","",""
"    Estimate","24,567","23,814","753"
"Cupertino city, California","","",""
"    Estimate","27,572","27,072","500"
"Cypress city, California","","",""
"    Estimate","23,818","23,260","558"
"Daly City city, California","","",""
"    Estimate","63,079","61,135","1,944"
"Dana Point city, California","","",""
"    Estimate","17,224","16,629","595"
"Danville town, California","","",""
"    Estimate","23,758","23,374","384"
"Davis city, California","","",""
"    Estimate","34,809","32,520","2,289"
"Delano city, California","","",""
"    Estimate","23,785","21,985","1,800"
"Desert Hot Springs city, California","","",""
"    Estimate","13,494","11,982","1,512"
"Diamond Bar city, California","","",""
"    Estimate","29,345","27,594","1,751"
"Dinuba city, California","","",""
"    Estimate","10,139","9,072","1,067"
"Dixon city, California","","",""
"    Estimate","13,422","12,802","620"
"Downey city, California","","",""
"    Estimate","59,326","56,904","2,422"
"Duarte city, California","","",""
"    Estimate","10,289","9,669","620"
"Dublin city, California","","",""
"    Estimate","33,471","32,547","924"
"East Hemet CDP, California","","",""
"    Estimate","8,726","8,092","634"
"East Los Angeles CDP, California","","",""
"    Estimate","60,110","57,071","3,039"
"East Palo Alto city, California","","",""
"    Estimate","15,867","15,210","657"
"Eastvale city, California","","",""
"    Estimate","32,418","31,522","896"
"El Cajon city, California","","",""
"    Estimate","52,834","49,397","3,437"
"El Centro city, California","","",""
"    Estimate","20,327","17,513","2,814"
"El Cerrito city, California","","",""
"    Estimate","14,913","14,540","373"
"El Dorado Hills CDP, California","","",""
"    Estimate","25,291","24,769","522"
"Elk Grove city, California","","",""
"    Estimate","90,556","85,313","5,243"
"El Monte city, California","","",""
"    Estimate","58,071","54,936","3,135"
"El Paso de Robles (Paso Robles) city, California","","",""
"    Estimate","18,409","18,143","266"
"Encinitas city, California","","",""
"    Estimate","30,801","29,944","857"
"Escondido city, California","","",""
"    Estimate","74,378","72,179","2,199"
"Eureka city, California","","",""
"    Estimate","14,386","13,707","679"
"Fairfield city, California","","",""
"    Estimate","61,233","59,246","1,987"
"Fair Oaks CDP, California","","",""
"    Estimate","16,523","16,001","522"
"Fallbrook CDP, California","","",""
"    Estimate","12,092","11,192","900"
"Florence-Graham CDP, California","","",""
"    Estimate","34,892","31,203","3,689"
"Florin CDP, California","","",""
"    Estimate","21,178","19,570","1,608"
"Folsom city, California","","",""
"    Estimate","41,873","40,705","1,168"
"Fontana city, California","","",""
"    Estimate","104,781","99,621","5,160"
"Foothill Farms CDP, California","","",""
"    Estimate","19,856","18,657","1,199"
"Foster City city, California","","",""
"    Estimate","17,517","16,924","593"
"Fountain Valley city, California","","",""
"    Estimate","28,782","27,739","1,043"
"Fremont city, California","","",""
"    Estimate","129,842","126,398","3,444"
"French Valley CDP, California","","",""
"    Estimate","18,038","16,789","1,249"
"Fresno city, California","","",""
"    Estimate","244,230","224,248","19,982"
"Fullerton city, California","","",""
"    Estimate","72,806","68,906","3,900"
"Galt city, California","","",""
"    Estimate","11,376","10,433","943"
"Gardena city, California","","",""
"    Estimate","32,041","31,081","960"
"Garden Grove city, California","","",""
"    Estimate","88,306","84,750","3,556"
"Gilroy city, California","","",""
"    Estimate","28,517","27,130","1,387"
"Glendale city, California","","",""
"    Estimate","106,696","100,968","5,728"
"Glendora city, California","","",""
"    Estimate","25,634","24,507","1,127"
"Goleta city, California","","",""
"    Estimate","17,000","16,526","474"
"Granite Bay CDP, California","","",""
"    Estimate","10,794","10,462","332"
"Greenfield city, California","","",""
"    Estimate","7,736","7,585","151"
"Hacienda Heights CDP, California","","",""
"    Estimate","25,600","24,363","1,237"
"Hanford city, California","","",""
"    Estimate","23,978","21,801","2,177"
"Hawthorne city, California","","",""
"    Estimate","44,292","42,436","1,856"
"Hayward city, California","","",""
"    Estimate","89,738","86,298","3,440"
"Hemet city, California","","",""
"    Estimate","29,174","26,234","2,940"
